Date,Open,High,Low,Close,Volume,Adj Close
28-05-2015,495,506.75,494.075012,503.575012,421436,399.109436
29-05-2015,504.25,513.375,500.937988,505.600006,746392,400.714386
01-06-2015,507.5,515.75,505.825012,511.424988,316300,405.330963
02-06-2015,511.25,513.700012,501.274994,502.200012,555136,398.019714
03-06-2015,505,515,502.062012,505.774994,696708,400.852997
04-06-2015,507.75,514.150024,503.587006,507.013,345768,401.834229
05-06-2015,509.75,511,502.287994,503.024994,479684,398.673523
08-06-2015,503,505.062012,497.5,500.062012,224292,396.325165
09-06-2015,503.25,503.25,496.274994,498.138,651432,394.800323
10-06-2015,502.5,509.924988,496.5,506.549988,424344,401.467316
11-06-2015,508.75,511.25,499.263,500.462006,876372,396.642273
12-06-2015,500.5,506.125,488.875,494.162994,1457624,391.649963
15-06-2015,490,499.424988,484.25,495.549988,705134,404.832825
16-06-2015,497,501,492.5,499.725006,249144,408.24353
17-06-2015,503.5,510.200012,496.649994,497.899994,401368,406.752655
18-06-2015,500.125,502.975006,498,500.450012,196586,408.835876
19-06-2015,502.5,505.149994,496.25,498.375,211216,407.140656
22-06-2015,504.5,514.400024,498.75,512.200012,379194,418.434875
23-06-2015,512.5,514,499.549988,500.575012,439428,408.937927
24-06-2015,505,506.700012,495.799988,497.549988,303674,406.466705
25-06-2015,500,501.5,493.924988,495.575012,375776,404.853241
26-06-2015,497.5,505.875,497.5,503.049988,354312,410.959869
29-06-2015,494,499.5,490,495.125,429556,404.485657
30-06-2015,496.5,496.5,491.549988,492.674988,261804,402.484161
01-07-2015,495,500,493.075012,498.850006,184536,407.528778
02-07-2015,500,500.200012,492.575012,494.075012,247628,403.627838
03-07-2015,493.5,496.5,491.774994,494.975006,194282,404.363098
06-07-2015,490,494.125,487.75,491.75,275000,401.728455
07-07-2015,495,495.375,490.024994,491.024994,173050,401.136169
08-07-2015,492.5,492.5,477.5,478.600006,670570,390.985809
09-07-2015,480,483.475006,467,468.850006,651170,383.02063
10-07-2015,475,475.924988,466.274994,468.5,308046,382.734741
13-07-2015,470,477.225006,467.049988,475.024994,398782,388.065216
14-07-2015,477.5,486.799988,472.674988,485.049988,536338,396.255035
15-07-2015,485.950012,492.600006,484.5,491.325012,270028,401.381287
16-07-2015,492.75,495.600006,489.549988,493.899994,197530,403.484863
17-07-2015,494.950012,501.975006,494.5,501,397040,409.285156
20-07-2015,501.625,505,493.625,500.950012,347480,409.244385
21-07-2015,511.100006,563.875,511.100006,556.325012,2835130,454.482117
22-07-2015,552.5,555.724976,537.875,551.299988,608726,450.377106
23-07-2015,551.5,558.849976,545.5,549.424988,368126,448.845337
24-07-2015,550,553.099976,541.200012,544.674988,247380,444.964813
27-07-2015,544.5,544.5,530.25,532.5,442272,435.018646
28-07-2015,538.5,538.5,527.75,531.75,252208,434.405884
29-07-2015,534,546.125,532.5,542.599976,260698,443.269714
